cctv_id,areacode,district,address,latitude,longitude
1,C000002,板橋區,文化路1段、民生路(下大漢橋),25.022613,121.467942
2,C000003,板橋區,縣民大道、民生路,25.018879,121.470993
3,C000004,三重區,重陽路、三和路(國1三重交流道),25.072586,121.494106
4,C000005,三重區,台北橋(環河快速道路上匝道匯流處),25.063614,121.506065
5,C000006,三重區,忠孝橋(往台北方向避車彎),25.054365,121.496268
6,C000007,三重區,中興橋(環河快速道路上匝道匯流處),25.047974,121.494003
7,C000008,淡水區,民權路、187巷前200公尺,25.132069,121.458524
8,C000011,土城區,中央路、大安路(土城交流道),24.96524,121.432984
9,C000012,板橋區,中山路、漢生東路,25.013277,121.468657
10,C000013,板橋區,縣民大道二段198號中央分隔島,25.017215,121.469114
11,C000014,板橋區,縣民大道、板橋火車站前(新府路往前60公尺中央分隔島),25.013888,121.464632
12,C000016,三峽區,介壽路、中正路(復興路),24.931392,121.376299
13,C000017,鶯歌區,三鶯大橋、文化路交接處,24.945787,121.352725
14,C000018,三峽區,復興路、三鶯交流道(高速公路東側),24.938579,121.361428
15,C000019,板橋區,大漢橋(環河路上方),25.032998,121.46296
16,C000020,板橋區,民生路、中山路,25.015711,121.473477
17,C000021,板橋區,台64線、板新路上方,25.011917,121.477188
18,C000022,板橋區,中山路、三民路,25.018772,121.479246
19,C000023,板橋區,新海橋(堤防上方),25.03059,121.456104
20,C000024,板橋區,四川路、中央路,24.993511,121.450033
21,C000025,板橋區,中山路一段、158巷,25.01202,121.466005
22,C000026,三重區,重新路、重陽路,25.056459,121.486658
23,C000027,新莊區,中正路、思源路,25.039081,121.460526
24,C000028,中和區,台64線於錦和路上方,24.994198,121.490362
25,C000029,中和區,中正路、中山路,25.005103,121.484056
26,C000030,中和區,中正路、連城路,24.996335,121.485109
27,C000031,中和區,華中橋(環河西路上方),25.007818,121.495411
28,C000032,林口區,文化一路、林口交流道,25.065982,121.368497
29,C000033,新店區,寶橋路235巷,24.978978,121.551606
30,C000034,板橋區,文化路2段、民生路2段(文化路中央分隔島),25.023203,121.468443
31,C000036,三重區,重陽路2段46號前中央分隔島,24.961448,121.537139
32,C000037,板橋區,光復橋,25.02255,121.486167
33,C000038,八里區,中華路、商港路口(2),25.143997,121.397676
34,C000039,板橋區,台64線萬板路上方,25.01983,121.470233
35,C000040,中和區,中正路、連城路2,24.996033,121.485117
36,C000041,新店區,安和路、中安大橋,24.979429,121.516745
37,C000042,新店區,環河路、中正路(大鵬華城),24.991722,121.533292
38,C000043,新店區,北新路1段、安康路1段,24.961962,121.539064
39,C000044,新店區,北新路1段、民權路,24.982946,121.541251
40,C000045,新店區,北新路88巷前,24.967879,121.541563
41,C000046,汐止區,大同路1段、民權街,25.054932,121.621554
42,C000047,汐止區,大同路1段、南陽街,25.054949,121.63084
43,C000048,汐止區,大同路1段、新台五路1段,25.056958,121.63328
44,C000049,汐止區,汐止新台五路1段、國道三號下匝道,25.055824,121.637046
45,C000050,汐止區,汐止新台五路1段、國道三號上匝道,25.060418,121.645384
46,C000051,汐止區,大同路2段、汐萬路1段,25.066811,121.656112
47,C000052,板橋區,文化路2段、雙十路,25.029787,121.472173
48,C000053,板橋區,文化路、新站路,25.016232,121.463035
49,C000054,板橋區,民生路、萬板路,25.020297,121.469901
50,C000056,永和區,永和路、中山路(中正路),25.010331,121.514534
51,C000057,永和區,中正路、福和路,25.007383,121.516898
52,C000058,永和區,中正路、永貞路,25.004174,121.517175
53,C000060,中和區,板南路、中正路161巷,24.993552,121.498281
54,C000061,中和區,南山路、興南路一段,24.986458,121.507914
55,C000064,中和區,中正路、中興街,24.993498,121.500091
56,C000066,三重區,重新路、中正南路,25.061019,121.493268
57,C000067,三重區,重新路、福德北路,25.063927,121.502551
58,C000068,三重區,自強路、重陽路,25.068649,121.490559
59,C000069,三重區,重安街、中正南路,25.055812,121.493383
60,C000070,三重區,重陽路、中山路,25.061335,121.486762
61,C000071,蘆洲區,蘆洲區永安南路、中山一路,25.076387,121.468363
62,C000072,蘆洲區,蘆洲區集賢路、三和路,25.080682,121.479692
63,C000073,蘆洲區,蘆洲區三民路、中山一路,25.081683,121.476088
64,C000074,三重區,新北環快，三重龍門路與環快匝道交會處,25.07439,121.502877
65,C000075,三重區,新北環快，南下3K+880門架,25.047172,121.484424
66,C000076,板橋區,新北環快，南下5K+232板橋匝道分流處,25.039789,121.480651
67,C000077,八里區,臨港大道,25.1540246,121.3972477
68,C000079,三重區,新北環快，北上2K+900中興橋上環快主線,25.051622,121.493425
69,C000080,三重區,新北環快，北上3K+420台北中興橋匝道分流,25.047848,121.488866
70,C000082,板橋區,新北環快，北上5K+015(重翠橋中段),25.042254,121.479864
71,C000083,板橋區,新北環快，北上6K+871萬華匝道分流處,25.025923,121.48437
72,C000084,中和區,新北環快，北上8K+240中和光環路上匝道口,25.01589,121.487095
73,C000085,三重區,三重區環河南路重安街口,25.054172,121.496342
74,C000086,三重區,新北環快，三重成功路平面匝道口(雙向),25.04934,121.490561
75,C000087,三重區,新北環快，福德南路平面匝道口,25.061525,121.503199
76,C000088,板橋區,新北環快，北上5K+733,25.036612,121.481323
77,C000089,板橋區,新北環快，南下5K+733台64上主線匝道口,25.037238,121.481516
78,C000091,板橋區,新北環快，北上7K+388,25.021004,121.485829
79,C000092,八里區,挖子尾街與忠孝路,25.165047,121.411235
80,C000094,三重區,新北環快，北上3K+791.5三重成功路匝道分流,25.046998,121.487052
81,C000095,三重區,新北環快，南下斜張橋北側(人行步道),25.047555,121.481489
82,C000096,三重區,新北環快，北上4K+080,25.047175,121.48297
83,C000097,三重區,新北環快，北上斜張橋南側(人行步道),25.047137,121.481805
84,C000098,三重區,新北環快，南下4K+168.5新莊匝道分流處(往新莊環河路),25.047302,121.481805
85,C000099,土城區,土城區城林路、亞洲路,24.975419,121.437099
86,C000100,板橋區,台65線7.6K處,25.000834,121.452055
87,C000102,新莊區,新莊區中環路、中原路,25.054348,121.442327
88,C000103,新莊區,新莊區中環路、新泰路,25.046176,121.442361
89,C000104,新莊區,新莊區中環路、幸福路,25.049141,121.442311
90,C000105,新莊區,新莊區中環路、中正路,25.034137,121.441916
91,C000106,泰山區,泰山區中山路、貴子路,25.040164,121.429527
92,C000107,泰山區,泰山區中山路、泰林路,25.052346,121.438563
93,C000108,新莊區,新莊區中正路、新泰路,25.035346,121.448911
94,C000109,新莊區,新莊區中華路、中原路,25.054497,121.451999
95,C000110,新莊區,新莊區中華路、幸福路,25.049178,121.452562
96,C000111,三重區,新北環快，忠孝橋三重端上方,25.054302,121.496627
97,C000112,新莊區,新莊區台1高架，中山路思源路口(中山路東向上方),25.060471,121.459951
98,C000113,泰山區,泰山區台1高架，民生路上、下匝道口(既有F型鋼構),25.046975,121.434763
99,C000114,泰山區,泰山台65線泰山交流道(西),25.06353,121.439081
100,C000115,板橋區,板橋區環河路、湳仔橋(環河路170號前號誌桿上),25.000875,121.451682
101,C000116,板橋區,"板橋區 縣民大道、板城路",25.003719,121.452948
102,C000118,永和區,永和區環河西路二段與新生路210巷口(平面),25.013466,121.505188
